"","name","rf","svm","cart","lda","gbm","dl"
"37","maltotriose",0.448576531659644,0.544037940379404,0,0.544037940379404,0,0.760609030723572
"38","mannitol",0.165789419724286,0.523204607046071,0,0.523204607046071,0,0.884348094463348
"39","methanolphosphate",0.154301226913468,0.575033875338753,0,0.575033875338753,0,0.837095141410828
"40","methionine",0.0927205233660593,0.533141373080398,0,0.533141373080398,0,0.856313645839691
"41","nicotinamide",0.903410105404276,0.661754742547426,0,0.661754742547426,4.74092106159132,0.891404807567596
"42","octadecanol",0.132082646189142,0.581413730803975,0,0.581413730803975,0,0.826154708862305
"43","ornithine",0.180077420651248,0.568541102077687,0,0.568541102077687,0,0.719262480735779
"44","oxoproline",0.0334649667405765,0.517050587172538,0,0.517050587172538,0,0.89197301864624
"45","phenylalanine",1.37009134575475,0.502822944896116,0,0.502822944896116,0,0.822691857814789
"46","phosphoethanolamine",0.0754127642005691,0.543529810298103,0,0.543529810298103,0,0.83973354101181
"47","proline",0.253841586324788,0.665932700993677,0,0.665932700993677,0,0.842778146266937
"48","putrescine",0.0749931275847966,0.503726287262873,0,0.503726287262873,0,0.691173732280731
"49","pyrogallol",0.0341888888888889,0.590898825654923,0,0.590898825654923,0,0.766097187995911
"50","pyrophosphate",0.0589423815950132,0.563008130081301,0,0.563008130081301,0.44878163547363,0.832322061061859
"51","pyruvate",0.50477957537269,0.546296296296296,0,0.546296296296296,2.12881009890135,0.864572882652283
"52","ribose",0.664113566560419,0.605803974706414,0,0.605803974706414,2.16030718490005,0.941830515861511
"53","serine",0.0246920634920635,0.602077687443541,0,0.602077687443541,0,0.669371783733368
"54","sorbitol",0.287877470193576,0.515752032520325,0,0.515752032520325,0,0.848602712154388
"55","spermidine",0.0909227431359616,0.502653568202349,0,0.502653568202349,0.506579719238365,0.796485006809235
"56","sucrose",0.0981894126626922,0.552676151761518,0,0.552676151761518,0,0.873776793479919
"57","taurine",0.137704598102246,0.579324751580849,0,0.579324751580849,0.373479409396754,0.853733241558075
"58","threitol",0.0875271584983134,0.545392953929539,0,0.545392953929539,0.309137599173017,0.784981250762939
"59","threonine",0.157709270713857,0.557926829268293,0,0.557926829268293,0,0.833549976348877
"60","trehalose",0.302439021271706,0.650350045167118,0,0.650350045167118,0.392298106288358,0.823925912380219
"61","tryptophan",0.218763926300629,0.613538843721771,0,0.613538843721771,2.82570477583168,0.848802149295807
"62","tyrosine",0.333229054015096,0.534552845528455,0,0.534552845528455,0,0.689539790153503
"63","uracil",1.2643491153441,0.739668021680217,17.7682026760344,0.739668021680217,1.52042725819788,0.937212586402893
"64","urea",0.106473209116503,0.625056458897922,0,0.625056458897922,0,0.898146450519562
"65","uridine",0.13627801231546,0.508638211382114,0,0.508638211382114,0,0.699421405792236
"66","valine",0.163744705966786,0.515977868112014,0,0.515977868112014,0,0.878989934921265
"67","xanthine",6.65336262012749,0.75389566395664,20.3780952080538,0.75389566395664,10.9498290375513,0.934610486030579
